Release Year,Year,3% DR (95th percentile),5% DR (Average),3% DR (Average),2.5% DR (Average)
2023,2023,162.20,15.80,54.00,80.20
2023,2024,165.60,16.40,55.00,81.60
2023,2025,169.00,17.00,56.00,83.00
2023,2026,172.60,17.40,57.20,84.20
2023,2027,176.20,17.80,58.40,85.40
2023,2028,179.80,18.20,59.60,86.60
2023,2029,183.40,18.60,60.80,87.80
2023,2030,187.00,19.00,62.00,89.00
2023,2031,190.80,19.60,63.00,90.40
2023,2032,194.60,20.20,64.00,91.80
2023,2033,198.40,20.80,65.00,93.20
2023,2034,202.20,21.40,66.00,94.60
2023,2035,206.00,22.00,67.00,96.00
2023,2036,209.80,22.60,68.20,97.40
2023,2037,213.60,23.20,69.40,98.80
2023,2038,217.40,23.80,70.60,100.20
2023,2039,221.20,24.40,71.80,101.60
2023,2040,225.00,25.00,73.00,103.00
2023,2041,228.40,25.60,74.20,104.40
2023,2042,231.80,26.20,75.40,105.80
2023,2043,235.20,26.80,76.60,107.20
2023,2044,238.60,27.40,77.80,108.60
2023,2045,242.00,28.00,79.00,110.00
2023,2046,245.60,28.80,80.20,111.20
2023,2047,249.20,29.60,81.40,112.40
2023,2048,252.80,30.40,82.60,113.60
2023,2049,256.40,31.20,83.80,114.80
2023,2050,260.00,32.00,85.00,116.00
2023,2051,263.60,32.80,86.20,117.20
2023,2052,267.20,33.60,87.40,118.40
2024,2024,197.99,19.61,65.76,
2024,2025,202.05,20.32,66.95,
2024,2026,206.35,20.80,68.39,
2024,2027,210.66,21.28,69.82,
2024,2028,214.96,21.76,71.26,
2024,2029,219.27,22.24,72.69,
2024,2030,223.57,22.72,74.13,
2024,2031,228.11,23.43,75.32,
2024,2032,232.66,24.15,76.52,
2024,2033,237.20,24.87,77.71,
2024,2034,241.74,25.59,78.91,
2024,2035,246.29,26.30,80.10,
2024,2036,250.83,27.02,81.54,
2024,2037,255.37,27.74,82.97,
2024,2038,259.92,28.45,84.41,
2024,2039,264.46,29.17,85.84,
2024,2040,269.00,29.89,87.28,
2024,2041,273.07,30.61,88.71,
2024,2042,277.13,31.32,90.15,
2024,2043,281.20,32.04,91.58,
2024,2044,285.26,32.76,93.01,
2024,2045,289.33,33.48,94.45,
2024,2046,293.63,34.43,95.88,
2024,2047,297.93,35.39,97.32,
2024,2048,302.24,36.35,98.75,
2024,2049,306.54,37.30,100.19,
2024,2050,310.85,38.26,101.62,
2024,2051,315.15,39.21,103.06,
2024,2052,319.46,40.17,104.49,
2024,2053,323.76,41.13,105.93,
