Release Year,Year,3% DR (95th percentile),5% DR (Average),3% DR (Average)
2023,2023,162.20,15.80,54.00
2023,2024,165.60,16.40,55.00
2023,2025,169.00,17.00,56.00
2023,2026,172.60,17.40,57.20
2023,2027,176.20,17.80,58.40
2023,2028,179.80,18.20,59.60
2023,2029,183.40,18.60,60.80
2023,2030,187.00,19.00,62.00
2023,2031,190.80,19.60,63.00
2023,2032,194.60,20.20,64.00
2023,2033,198.40,20.80,65.00
2023,2034,202.20,21.40,66.00
2023,2035,206.00,22.00,67.00
2023,2036,209.80,22.60,68.20
2023,2037,213.60,23.20,69.40
2023,2038,217.40,23.80,70.60
2023,2039,221.20,24.40,71.80
2023,2040,225.00,25.00,73.00
2023,2041,228.40,25.60,74.20
2023,2042,231.80,26.20,75.40
2023,2043,235.20,26.80,76.60
2023,2044,238.60,27.40,77.80
2023,2045,242.00,28.00,79.00
2023,2046,245.60,28.80,80.20
2023,2047,249.20,29.60,81.40
2023,2048,252.80,30.40,82.60
2023,2049,256.40,31.20,83.80
2023,2050,260.00,32.00,85.00
2023,2051,263.60,32.80,86.20
2023,2052,267.20,33.60,87.40
2023,2053,270.80,34.40,88.60
2023,2054,274.40,35.20,89.80
2023,2055,278.00,36.00,91.00
2023,2056,281.60,36.80,92.20
2023,2057,285.20,37.60,93.40
2023,2058,288.80,38.40,94.60
2023,2059,292.40,39.20,95.80
2023,2060,296.00,40.00,97.00
2023,2061,299.60,40.80,98.20
2023,2062,303.20,41.60,99.40
2023,2063,306.80,42.40,100.60
2023,2064,310.40,43.20,101.80
2023,2065,314.00,44.00,103.00
2023,2066,317.60,44.80,104.20
2024,2024,197.99,19.61,65.76
2024,2025,202.05,20.32,66.95
2024,2026,206.35,20.80,68.39
2024,2027,210.66,21.28,69.82
2024,2028,214.96,21.76,71.26
2024,2029,219.27,22.24,72.69
2024,2030,223.57,22.72,74.13
2024,2031,228.11,23.43,75.32
2024,2032,232.66,24.15,76.52
2024,2033,237.20,24.87,77.71
2024,2034,241.74,25.59,78.91
2024,2035,246.29,26.30,80.10
2024,2036,250.83,27.02,81.54
2024,2037,255.37,27.74,82.97
2024,2038,259.92,28.45,84.41
2024,2039,264.46,29.17,85.84
2024,2040,269.00,29.89,87.28
2024,2041,273.07,30.61,88.71
2024,2042,277.13,31.32,90.15
2024,2043,281.20,32.04,91.58
2024,2044,285.26,32.76,93.01
2024,2045,289.33,33.48,94.45
2024,2046,293.63,34.43,95.88
2024,2047,297.93,35.39,97.32
2024,2048,302.24,36.35,98.75
2024,2049,306.54,37.30,100.19
2024,2050,310.85,38.26,101.62
2024,2051,315.15,39.21,103.06
2024,2052,319.46,40.17,104.49
2024,2053,323.76,41.13,105.93
2024,2054,328.06,42.08,107.36
2024,2055,332.37,43.04,108.80
2024,2056,336.67,44.00,110.23
2024,2057,340.98,44.95,111.67
2024,2058,345.28,45.91,113.10
2024,2059,349.58,46.87,114.54
2024,2060,353.89,47.82,115.97
2024,2061,358.19,48.78,117.40
2024,2062,362.50,49.74,118.84
2024,2063,366.80,50.69,120.27
2024,2064,371.10,51.65,121.71
2024,2065,375.41,52.60,123.14
2024,2066,379.71,53.56,124.58
2024,2067,384.02,54.52,126.01
